timestamp,vehicle,groundtruth_x,groundtruth_y,groundtruth_theta,estimation_x,estimation_y,estimation_theta,difference_x,difference_y,difference_theta
3,DU.0,92.0,194.9,3.141592653589793,83.8782731816838,197.95878206825037,2.957225931729291,8.121726818316205,-3.058782068250366,-0.1843667218605023
4,DU.0,92.0,192.75685595781542,3.141592653589793,97.14592584495716,188.79272352599992,2.336935561399335,-5.145925844957162,3.9641324318155,-0.8046570921904579
5,DU.0,92.0,189.20650960281492,3.141592653589793,93.18547493922152,182.14722466260662,2.450030888030031,-1.1854749392215211,7.0592849402083,-0.6915617655597618
6,DU.0,92.0,184.1202716980828,3.141592653589793,97.32275197373309,185.06156881527775,2.8268373151493944,-5.322751973733091,-0.9412971171949494,-0.3147553384403989
6,DU.1,92.0,194.9,3.141592653589793,86.27638145080194,190.39204639703604,-2.9661890398603967,5.723618549198065,4.5079536029639655,0.17540361372939653
7,DU.0,92.0,177.408577470202,3.141592653589793,87.69311516564646,181.0493538883346,3.1070187377957637,4.306884834353539,-3.640776418132589,-0.03457391579402924
7,DU.1,92.0,192.95464248305652,3.141592653589793,95.70134237850948,195.05240102908087,2.901645524985006,-3.70134237850948,-2.0977585460243517,-0.23994712860478737
8,DU.0,92.0,168.57740427583923,3.141592653589793,97.58290207932097,167.56519929789553,-2.582049401084982,-5.582902079320974,1.0122049779436963,0.5595432525048114
8,DU.1,92.0,189.31428018794395,3.141592653589793,95.91088132973607,180.78221689651815,-3.0760833531861356,-3.910881329736071,8.5320632914258,0.06550930040365775
9,DU.0,92.0,158.90047335929285,3.141592653589793,91.39851803491118,156.5356911073053,-3.0642975899808165,0.6014819650888228,2.364782251987549,0.0772950636089768
9,DU.1,92.0,183.3526448226068,3.141592653589793,92.81103729622423,180.05683143617452,-2.785171929031791,-0.811037296224228,3.295813386432286,0.35642072455800206
10,DU.0,92.0,149.23426695355778,3.141592653589793,95.70936506737824,143.3072259743061,-2.9893842036001663,-3.7093650673782435,5.927040979251672,0.15220844998962724
10,DU.1,92.0,176.09036685042082,3.141592653589793,86.58066747951946,168.72710445873975,-2.3432019895299736,5.419332520480538,7.363262391681076,0.7983906640598198
11,DU.0,92.0,138.77893012476767,3.141592653589793,91.66388518268826,135.00854246094514,-3.03386595801465,0.33611481731173853,3.7703876638225324,0.10772669557514332
11,DU.1,92.0,167.99789987162805,3.141592653589793,91.11588058692548,164.43352712333913,3.1041653812790706,0.8841194130745151,3.5643727482889176,-0.03742727231072246
11,DU.2,92.0,194.9,3.141592653589793,91.00850139936615,194.30495677096272,2.907487352295865,0.9914986006338466,0.5950432290372873,-0.23410530129392812
11,LR.0,5.1,92.0,1.5707963267948966,4.490893645042815,93.8878189316046,1.965060587622005,0.6091063549571842,-1.887818931604599,0.3942642608271086
12,DU.0,92.0,128.47854662924735,3.141592653589793,86.52552304746597,127.89673017042605,3.0072020957586574,5.474476952534033,0.5818164588212937,-0.13439055783113554
12,DU.1,92.0,159.45992767073915,3.141592653589793,93.71480212721052,159.76195410774997,2.997902615177418,-1.7148021272105183,-0.30202643701082366,-0.14369003841237488
12,DU.2,92.0,192.91087826546283,3.141592653589793,89.91407572460028,189.77767091549057,2.743146820701839,2.0859242753997194,3.1332073499722526,-0.3984458328879544
12,LR.0,7.018950720666907,92.0,1.5707963267948966,6.726516217996594,90.85097822770871,1.076526796563887,0.29243450267031257,1.1490217722912917,-0.4942695302310096
13,DU.0,92.0,118.17610085855948,3.141592653589793,91.20529803557658,124.52576851549821,3.132447121458834,0.7947019644234246,-6.349667656938735,-0.009145532130958822
13,DU.1,92.0,150.28332622753808,3.141592653589793,91.27512425732958,154.79097100998663,-2.585785546010518,0.7248757426704202,-4.507644782448551,0.5558071075792752
13,DU.2,92.0,188.39647619649767,3.141592653589793,83.60091735119923,186.7671681113804,2.7009544581754117,8.399082648800771,1.629308085117259,-0.4406381954143815
13,LR.0,10.660075501399115,92.0,1.5707963267948966,7.748670992445208,85.74177010993667,1.8130457814542993,2.9114045089539067,6.258229890063333,0.24224945465940273
14,DU.0,92.0,108.76879031848921,3.141592653589793,88.65658355174062,107.97075975072431,3.0990765120426063,3.343416448259376,0.7980305677648971,-0.04251614154718705
14,DU.1,92.0,141.30963897691112,3.141592653589793,89.4076660118395,140.85814410898604,-2.992139924769795,2.5923339881605045,0.45149486792507787,0.1494527288199985
14,DU.2,92.0,182.34872313735542,3.141592653589793,92.75948811098806,194.0003845653639,-2.798999774870301,-0.7594881109880589,-11.651661428008481,0.3425928787194922
14,LR.0,16.303573075984605,92.0,1.5707963267948966,17.088684184461897,90.77206809058121,1.531726046164307,-0.7851111084772917,1.2279319094187855,-0.03907028063058952
14,UD.0,108.0,5.1,0.0,109.24399580693886,3.616794238145686,0.17286136193151508,-1.2439958069388553,1.4832057618543137,0.17286136193151508
15,DU.0,92.0,98.17265942717779,3.141592653589793,92.75765852867131,93.5854724783878,-3.066211603472687,-0.757658528671314,4.5871869487899914,0.07538105011710645
15,DU.1,92.0,132.58530415420543,3.141592653589793,88.69033633720416,120.22562372208,-3.088954406783469,3.309663662795842,12.35968043212543,0.05263824680632428
15,DU.2,92.0,174.84784449953585,3.141592653589793,93.07807470287726,170.8761787276163,3.036539429985217,-1.0780747028772595,3.971665771919561,-0.10505322360457611
15,LR.0,24.388655566191304,92.0,1.5707963267948966,25.225662504384886,98.14702766300663,1.333192048161427,-0.8370069381935821,-6.147027663006625,-0.23760427863346953
